cpu_name ,generation,code_name,socket,process_size,foundry,tjmax,frequency,turbo_lock,base_lock,tdp,NO_cores,NO_threads,integrated_graphics,release_date,memory_support,Price,Link
Intel Core i9-10900KF,10th,Comet Lake,1200,14 nm,Intel,100°C,"	3.7 GHz",up to 5.3 GHz,100 MHz,125 W,10,20,N/A,"Apr 30th, 2020","DDR4-2933 MHz
Dual-channel",550$,https://bhpho.to/2DIU2RH
Intel Core i9-10900K,10th,Comet Lake,1200,14 nm,Intel,100°C,"	3.7 GHz",up to 5.3 GHz,100 MHz,125 W,10,20,UHD Graphics 630,"Apr 30th, 2020","DDR4-2933 MHz
Dual-channel",570$,https://amz.run/3TQp
Intel Core i9-10900,10th,Comet Lake,1200,"	14 nm",Intel,100°C,3.6 GHz,up to 5.2 GHz,"	100 MHz",125 W,10,20,UHD Graphics 630,"Jul 27th, 2020","DDR4-2933 MHz
Dual-channel",470$,https://amz.run/3TQq
Intel Core i7-10700K,10th,Comet Lake,1200,14 nm,Intel,100°C,3.8 GHz,up to 5.1 GHz,100 MHz,125 W,8,16,UHD Graphics 630,"Apr 30th, 2020","DDR4-2933 MHz
Dual-channel",410$,https://amz.run/3TQr
Intel Core i7-10700,10th,Comet Lake,1200,14 nm,Intel,100°C,2.9 GHz,up to 4.8 GHz,100 MHz,65 W,8,16,UHD Graphics 630,"Apr 30th, 2020","DDR4-2933 MHz
Dual-channel",310$,https://amz.run/3TQs
Intel Core i7-10700F,10th,Comet Lake,1200,14 nm,Intel,"	100°C","	2.9 GHz",up to 4.8 GHz,100 MHz,125 W,8,16,"	N/A","Apr 30th, 2020","	DDR4-2933 MHz
Dual-channel",300$,https://amz.run/3TQt
Intel Core i5-10600K,10th,Comet Lake,1200,14 nm,Intel,"	100°C",4.1 GHz,up to 4.8 GHz,100 MHz,125 W,6,12,UHD Graphics 630,"Apr 30th, 2020","DDR4-2666 MHz
Dual-channel",320$,https://amz.run/3TQu
Intel Core i5-10600,10th,Comet Lake,1200,14 nm,Intel,"	100°C",3.3 GHz,up to 4.8 GHz,"	100 MHz",65 W,6,12,UHD Graphics 630,"Apr 30th, 2020","DDR4-2666 MHz
Dual-channel",280$,https://amz.run/3TQv
Intel Core i5-10500,10th,Comet Lake,1200,14 nm,Intel,"	100°C","	3.1 GHz",up to 4.5 GHz,100 MHz,65 W,6,12,UHD Graphics 630,"Apr 30th, 2020","DDR4-2666 MHz
Dual-channel",250$,https://amz.run/3TQw
Intel Core i5-10400F,10th,Comet Lake,1200,14 nm,Intel,"	100°C",2.9 GHz,up to 4.3 GHz,100 MHz,65 W,6,12,N/A,"Apr 30th, 2020","DDR4-2666 MHz
Dual-channel",180$,https://amz.run/3TQx
